Year,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,higher_rank_won,rank_diff,rank_diff_cat,same_handedness
2021,Monteiro T.,Martin A.,74,103,BRA,2011,78,183,Left,ESP,1995,73,175,Right,Yes,-29,Low,No
2021,O Connell C.,Struff J.L.,121,37,AUS,2011,78,183,Right,GER,2009,87,196,Right,No,84,High,Yes
2021,Coric B.,Pella G.,25,44,CRO,2013,79,185,Right,ARG,2007,83,185,Left,Yes,-19,Low,No
2021,Alcaraz C.,Van De Zandschulp B.,141,151,ESP,2018,72,185,Right,NED,2018,83,188,Right,Yes,-10,Low,Yes
2021,Ymer M.,Hurkacz H.,95,30,SWE,2015,75,183,Right,ITA,2013,77,188,Right,No,65,Medium,Yes
2021,Rublev A.,Hanfmann Y.,8,102,RUS,2014,68,188,Right,GER,2015,84,193,Right,Yes,-94,High,Yes
2021,Popyrin A.,Goffin D.,113,15,AUS,2017,78,196,Right,BEL,2009,68,180,Right,No,98,High,Yes
2021,Khachanov K.,Vukic A.,20,196,RUS,2013,88,198,Right,AUS,2018,85,188,Right,Yes,-176,High,Yes
2021,Albot R.,Bautista Agut R.,85,13,MDA,2008,69,175,Right,ESP,2005,76,183,Right,No,72,Medium,Yes
2021,Cuevas P.,Seppi A.,72,108,URU,2004,80,180,Right,ITA,2002,75,191,Right,Yes,-36,Medium,Yes
2021,Krajinovic F.,Haase R.,33,197,SRB,2008,75,185,Right,NED,2005,71,191,Right,Yes,-164,High,Yes
2021,Andujar P.,Halys Q.,59,207,ESP,2003,76,180,Right,FRA,2012,78,191,Right,Yes,-148,High,Yes
2021,Berankis R.,Nagal S.,73,144,LTU,2007,70,175,Right,IND,2015,69,178,Right,Yes,-71,Medium,Yes
2021,Medvedev D.,Pospisil V.,4,63,RUS,2014,81,198,Right,CAN,2007,84,193,Right,Yes,-59,Medium,Yes
2021,Lopez F.,Tu L.,65,NA,ESP,1997,73,185,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Sonego L.,Querrey S.,35,52,ITA,2013,76,191,Right,USA,2006,95,198,Right,Yes,-17,Low,Yes
2021,Paul T.,Basilashvili N.,53,40,USA,2015,78,185,Right,GEO,2008,79,185,Right,No,13,Low,Yes
2021,Nadal R.,Djere L.,2,56,ESP,2001,85,185,Left,SRB,2013,80,185,Right,Yes,-54,Medium,No
2021,Caruso S.,Laaksonen H.,78,139,ITA,2010,80,185,Right,SUI,2009,78,185,Right,Yes,-61,Medium,Yes
2021,Mmoh M.,Troicki V.,177,202,USA,2016,85,185,Right,SRB,2006,86,193,Right,Yes,-25,Low,Yes
2021,De Minaur A.,Sandgren T.,23,51,AUS,2015,69,180,Right,USA,2011,87,188,Right,Yes,-28,Low,Yes
2021,Carballes Baena R.,Balazs A.,99,94,ESP,2011,76,180,Right,HUN,2006,78,180,Right,No,5,Low,Yes
2021,Norrie C.,Evans D.,69,26,GBR,2017,80,188,Left,GBR,2006,75,175,Right,No,43,Medium,No
2021,Machac T.,Vilella Martinez M.,199,181,CZE,2017,74,183,Right,ESP,2013,74,178,Right,No,18,Low,Yes
2021,Fognini F.,Herbert P.H.,17,84,ITA,2004,74,178,Right,FRA,2010,79,188,Right,Yes,-67,Medium,Yes
2021,Ruud C.,Thompson J.,28,49,NOR,2015,77,183,Right,AUS,2013,73,183,Right,Yes,-21,Low,Yes
2021,Kokkinakis T.,Kwon S.W.,267,97,AUS,2013,82,196,Right,KOR,2015,72,180,Right,No,170,High,Yes
2021,Berrettini M.,Anderson K.,10,81,ITA,2015,95,196,Right,RSA,2007,93,203,Right,Yes,-71,Medium,Yes
2021,Safiullin R.,Ivashka I.,183,110,RUS,2015,75,185,Right,BLR,2013,83,196,Right,No,73,Medium,Yes
2021,Tsitsipas S.,Simon G.,6,66,GRE,2016,83,193,Right,FRA,2002,70,183,Right,Yes,-60,Medium,Yes
2021,Karatsev A.,Gerasimov E.,114,79,RUS,2011,85,185,Right,BLR,2010,84,183,Right,No,35,Medium,Yes
2021,Fucsovics M.,Wawrinka S.,55,18,HUN,2010,82,188,Right,SUI,2002,81,183,Right,No,37,Medium,Yes
2021,Martinez P.,Ruusuvuori E.,87,86,ESP,2016,76,185,Right,FIN,2018,79,188,Right,No,1,Low,Yes
2021,Auger-Aliassime F.,Duckworth J.,19,105,CAN,2016,84,188,Right,AUS,2010,82,183,Right,Yes,-86,High,Yes
2021,Schwartzman D.,Muller A.,9,210,ARG,2010,64,170,Right,FRA,2014,75,183,Right,Yes,-201,High,Yes
2021,Raonic M.,Moutet C.,14,71,CAN,2008,98,196,Right,FRA,2016,71,175,Left,Yes,-57,Medium,No
2021,Djokovic N.,Tiafoe F.,1,64,SRB,2003,77,188,Right,USA,2015,77,188,Right,Yes,-63,Medium,Yes
2021,Thiem D.,Koepfer D.,3,70,AUT,2011,82,185,Right,GER,2016,79,180,Left,Yes,-67,Medium,No
2021,Lajovic D.,Bublik A.,27,45,SRB,2007,78,183,Right,KAZ,2014,76,196,Right,Yes,-18,Low,Yes
2021,Fritz T.,Opelka R.,31,38,USA,2015,84,193,Right,USA,2015,100,211,Right,Yes,-7,Low,Yes
2021,Shapovalov D.,Tomic B.,12,233,CAN,2016,76,183,Left,AUS,2008,91,196,Right,Yes,-221,High,No
2021,Mannarino A.,Kecmanovic M.,36,41,FRA,2004,70,180,Left,SRB,2017,75,183,Right,Yes,-5,Low,No
2021,Carreno Busta P.,Vesely J.,16,68,ESP,2009,78,188,Right,CZE,2009,92,198,Left,Yes,-52,Medium,No
2021,Kyrgios N.,Humbert U.,47,34,AUS,2013,85,193,Right,FRA,2016,73,188,Left,No,13,Low,No
2021,Zverev A.,Cressy M.,7,172,GER,2013,86,198,Right,USA,2019,91,198,Right,Yes,-165,High,Yes
2021,Dimitrov G.,Bolt A.,21,166,BUL,2008,80,191,Right,AUS,2011,84,183,Left,Yes,-145,High,No
2021,Lopez F.,Sonego L.,65,35,ESP,1997,73,185,Left,ITA,2013,76,191,Right,No,30,Low,No
2021,Rublev A.,Monteiro T.,8,74,RUS,2014,68,188,Right,BRA,2011,78,183,Left,Yes,-66,Medium,No
2021,Harris L.,Popyrin A.,91,113,RSA,2015,80,193,Right,AUS,2017,78,196,Right,Yes,-22,Low,Yes
2021,Ymer M.,Alcaraz C.,95,141,SWE,2015,75,183,Right,ESP,2018,72,185,Right,Yes,-46,Medium,Yes
2021,Ruud C.,Paul T.,28,53,NOR,2015,77,183,Right,USA,2015,78,185,Right,Yes,-25,Low,Yes
