player,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent
Derrick White,76,2574,24.3,1.3,5.3,6.6,7,1.4,1.6,123,112,0.58,0.839
Dyson Daniels,76,2571,19.5,2.3,5.9,8.2,6.1,4.2,1,110,111,0.536,0.593
Nikola Jokić,70,2571,38.7,3.7,12.9,16.7,13.4,2.4,0.8,133,111,0.627,0.8
Austin Reaves,73,2550,28.5,1.2,5.2,6.3,8.1,1.6,0.4,122,117,0.556,0.877
Toumani Camara,78,2548,16.8,3.3,5.3,8.6,3.3,2.2,1,117,115,0.552,0.722
Pascal Siakam,78,2548,29.8,2.5,7.7,10.2,5,1.3,0.8,120,115,0.572,0.734
Brook Lopez,80,2546,19.8,2.1,5.5,7.6,2.7,0.9,2.8,122,114,0.599,0.826
Karl-Anthony Towns,72,2517,34.7,4.2,14,18.1,4.4,1.4,1,122,110,0.584,0.829
Bub Carrington,82,2458,15.6,0.6,6,6.6,7,1,0.4,104,121,0.493,0.812
Cade Cunningham,70,2452,35.9,1.1,7.2,8.3,12.5,1.4,1,112,113,0.521,0.846
Tyrese Haliburton,73,2451,26.6,0.8,4.2,5.1,13.2,2.1,1,131,115,0.582,0.851
Coby White,74,2450,28.8,0.5,4.7,5.2,6.3,1.3,0.3,114,118,0.55,0.902
LeBron James,70,2444,34.4,1.4,9.5,11,11.6,1.4,0.8,117,114,0.571,0.782
Domantas Sabonis,70,2429,26.9,5.4,14.2,19.6,8.5,1,0.5,128,114,0.627,0.754
Jamal Murray,67,2418,28.6,0.9,4.3,5.2,8,1.8,0.7,120,118,0.543,0.886
Alperen Şengün,76,2395,29.5,5.3,10.7,16,7.6,1.7,1.2,116,108,0.505,0.692
Dillon Brooks,75,2388,21.5,1.5,4.1,5.6,2.6,1.2,0.3,117,114,0.533,0.818
Rudy Gobert,72,2388,17.9,5.5,10.7,16.2,2.6,1.2,2.1,138,109,0.669,0.674
Tobias Harris,73,2305,20.9,1.4,7.7,9,3.4,1.5,1.2,116,113,0.534,0.861
Darius Garland,75,2301,32.3,1,3.5,4.5,10.6,1.9,0.2,121,115,0.562,0.878
Jalen Brunson,65,2301,36.4,0.6,3.5,4,10.2,1.3,0.2,123,118,0.551,0.821
Jarrett Allen,82,2296,23.1,4.5,12.2,16.7,3.3,1.6,1.5,142,108,0.706,0.718
Chris Paul,82,2292,15.2,0.7,5.5,6.2,12.8,2.2,0.5,125,118,0.547,0.924
Anfernee Simons,70,2292,28.6,0.5,3.5,4,7.1,1.3,0.1,115,119,0.521,0.902
Giannis Antetokounmpo,67,2289,43,3.1,13.8,16.9,9.1,1.2,1.6,122,109,0.607,0.617
Malik Beasley,82,2283,28.1,1,3.5,4.5,2.9,1.5,0.1,116,117,0.579,0.679
Kentavious Caldwell-Pope,77,2279,14.7,0.7,3,3.7,3,2.2,0.7,115,112,0.543,0.863
Nikola Vučević,73,2278,27.6,3.6,11.4,15.1,5.2,1.2,1.1,122,113,0.592,0.805
Payton Pritchard,80,2271,25.3,2.3,4.5,6.8,6.2,1.5,0.3,131,114,0.62,0.845
Kevin Durant,62,2265,36,0.5,7.7,8.2,5.7,1.1,1.7,117,119,0.598,0.839
Shaedon Sharpe,72,2252,28.8,1.5,5.5,7,4.3,1.3,0.3,110,117,0.519,0.785
Stephen Curry,70,2252,37.1,0.9,5.8,6.7,9.1,1.7,0.6,120,113,0.572,0.933
De'Aaron Fox,62,2241,31.7,1.2,5.3,6.5,8.5,2,0.5,113,117,0.514,0.827
De'Aaron Fox,45,1663,33.1,1.3,5.3,6.6,8.1,1.9,0.6,113,117,0.521,0.829
De'Aaron Fox,17,578,28,0.8,5.4,6.1,9.7,2.1,0.4,111,118,0.493,0.819
Jalen Williams,69,2237,32,1.3,6.7,7.9,7.6,2.4,1,116,107,0.537,0.789
Donovan Mitchell,71,2232,36.7,1.2,5.7,6.9,7.6,2,0.4,118,113,0.531,0.823
Harrison Barnes,82,2230,21.9,2.1,4.6,6.7,2.9,0.8,0.3,132,122,0.622,0.809
Julius Randle,69,2226,28.5,3.2,7.6,10.8,7.2,1,0.4,117,113,0.542,0.806
Amen Thompson,69,2225,21.2,4.2,8.1,12.3,5.8,2.1,1.9,123,108,0.575,0.684
Jaren Jackson Jr.,74,2207,34.6,1.9,6.9,8.8,3.1,1.9,2.4,115,111,0.548,0.781
Desmond Bane,69,2205,28,1.3,7.5,8.8,7.8,1.7,0.6,119,113,0.565,0.894
Naz Reid,80,2200,25.5,2.1,8.7,10.8,4.1,1.3,1.6,115,110,0.556,0.776
Tyus Jones,81,2174,18.9,0.9,3.5,4.5,9.8,1.6,0.2,124,122,0.57,0.895
Myles Turner,72,2174,24.8,2,8.4,10.4,2.5,1.2,3.2,113,112,0.577,0.773
Evan Mobley,71,2167,29.2,3.6,11,14.6,5,1.4,2.5,124,108,0.604,0.725
Taurean Prince,80,2166,14.6,0.8,5.6,6.4,3.5,1.7,0.3,114,115,0.6,0.813
Stephon Castle,81,2162,26.6,2,4.6,6.6,7.4,1.7,0.5,106,119,0.476,0.724
Deni Avdija,72,2161,27.4,2.5,9.3,11.7,6.3,1.6,0.8,116,113,0.55,0.78
Jaylen Brown,63,2158,32.5,1.9,6.6,8.6,6.6,1.7,0.4,112,112,0.515,0.764
Tim Hardaway Jr.,77,2153,18.9,0.4,3.7,4.1,2.7,0.8,0.2,117,118,0.529,0.855
Bennedict Mathurin,72,2149,25.9,1.9,6.6,8.6,3,1.1,0.5,110,116,0.516,0.831
Spencer Dinwiddie,79,2136,19.7,0.4,4.3,4.7,7.9,1.6,0.4,116,119,0.496,0.802
Scottie Barnes,65,2134,28.2,2.5,8.9,11.3,8.5,2.1,1.4,107,112,0.482,0.755
Max Christie,78,2127,17.2,0.9,5,5.9,3.4,1.5,0.7,111,117,0.525,0.855
Max Christie,46,1154,16.6,1.1,4.2,5.2,2.8,1.5,0.9,117,117,0.549,0.851
Max Christie,32,973,17.8,0.6,6.1,6.7,4,1.4,0.5,106,118,0.502,0.862
Josh Giddey,70,2117,22.5,2.8,9.7,12.5,11.1,1.9,1,115,113,0.531,0.781
Fred VanVleet,60,2111,19.5,0.7,4.4,5.1,7.7,2.2,0.6,117,112,0.483,0.81
Keyonte George,67,2109,25.6,0.6,5.2,5.8,8.6,1,0.2,109,123,0.485,0.818
Dennis Schröder,75,2105,22.7,0.6,4,4.6,9.4,1.5,0.3,111,117,0.483,0.838
Dennis Schröder,23,772,27.3,0.3,4.1,4.4,9.8,1.7,0.3,116,118,0.542,0.889
Dennis Schröder,24,628,19.7,0.8,3.6,4.3,8.1,1.9,0.2,99,114,0.448,0.744
Dennis Schröder,28,705,20.6,0.9,4.2,5,10,1,0.3,117,117,0.442,0.833
Damian Lillard,58,2093,33.4,0.7,5.6,6.3,9.5,1.6,0.2,122,115,0.547,0.921
Russell Westbrook,75,2092,22.8,2.3,6.2,8.5,10.5,2.4,0.9,105,115,0.505,0.661
Kelly Oubre Jr.,60,2078,21.5,2.3,6.4,8.7,2.6,2.2,0.7,111,118,0.518,0.751
Nickeil Alexander-Walker,82,2073,18.4,1.3,5,6.3,5.3,1.2,0.8,116,114,0.553,0.78
Luguentz Dort,71,2073,16.6,2.1,4.7,6.8,2.7,1.8,0.9,120,110,0.578,0.717
Onyeka Okongwu,74,2064,22.4,5,10,15,3.8,1.6,1.5,129,114,0.602,0.759
Malik Monk,65,2054,26.6,0.7,5.1,5.8,8.6,1.5,0.9,110,117,0.513,0.865
Jaylen Wells,79,2043,18.7,2,4.1,6.1,3.1,1,0.2,117,118,0.527,0.822
Jalen Duren,78,2034,21.7,6.5,12.5,19.1,4.9,1.3,2.1,134,109,0.692,0.669
Jalen Wilson,79,2031,18.4,1.8,4.8,6.6,3.6,1,0.1,110,119,0.495,0.818
Miles Bridges,64,2029,31.5,1.7,9.9,11.7,6,1.1,1.1,110,116,0.495,0.87
Davion Mitchell,74,2027,14.2,0.8,3.2,4,8.8,1.7,0.4,113,117,0.557,0.69
Davion Mitchell,44,1080,12.4,0.7,3.1,3.8,9,1.4,0.4,106,118,0.52,0.676
Davion Mitchell,30,947,16.3,1,3.3,4.3,8.4,2.2,0.4,121,115,0.595,0.702
Franz Wagner,60,2023,35.8,1.4,7.1,8.4,7,1.9,0.5,113,110,0.507,0.871
Quentin Grimes,75,2013,26.5,1.4,6.4,7.9,5.5,1.8,0.5,113,118,0.565,0.757
Quentin Grimes,47,1070,21.7,1.4,6.7,8.1,4.6,1.4,0.5,114,117,0.573,0.765
Quentin Grimes,28,943,32,1.5,6.1,7.6,6.6,2.2,0.6,112,118,0.559,0.752
Jordan Poole,68,2001,33.1,0.7,4.1,4.8,7.2,2,0.6,109,120,0.544,0.883
Draymond Green,68,1983,15,1.8,8.3,10.2,9.4,2.4,1.7,107,109,0.503,0.687
Devin Vassell,64,1983,25.4,0.8,5.4,6.2,4.5,2,0.8,109,118,0.532,0.792
Klay Thompson,72,1965,24.7,1.1,5,6.1,3.6,1.2,0.7,108,119,0.535,0.905
Tyrese Maxey,52,1960,34.4,0.4,4,4.4,8,2.3,0.5,114,119,0.511,0.879
Norman Powell,60,1958,32.8,0.5,4.2,4.8,3.1,1.8,0.2,116,113,0.578,0.804
Yves Missi,73,1956,16.5,6.3,8.6,14.9,2.5,0.9,2.4,120,119,0.547,0.623
Keon Ellis,80,1948,16.7,1.5,3.8,5.3,3,3,1.6,125,114,0.639,0.849
Bilal Coulibaly,59,1948,17.8,2.2,5,7.2,4.9,1.9,1,103,120,0.472,0.746
Kyle Kuzma,65,1936,23.9,1.3,7.8,9.2,3.8,0.9,0.5,96,118,0.493,0.634
Kyle Kuzma,32,887,26.1,1.4,8.5,9.9,4.2,1.1,0.4,93,120,0.469,0.602
Kyle Kuzma,33,1049,22,1.2,7.3,8.5,3.4,0.7,0.6,100,116,0.52,0.663
Julian Champagnie,82,1932,20.4,1.7,6.3,8,2.8,1.5,0.9,113,118,0.549,0.904
Keon Johnson,79,1925,21.7,1.6,6.1,7.7,4.5,2.1,0.8,100,115,0.47,0.77
Naji Marshall,69,1919,23,1.9,6.4,8.3,5.2,1.8,0.3,115,117,0.551,0.813
Jrue Holiday,62,1896,18.1,2,5,7,6.3,1.7,0.7,121,113,0.538,0.909
Guerschon Yabusele,70,1895,20,3.5,6.8,10.3,3.9,1.5,0.6,122,119,0.593,0.725
Gary Trent Jr.,74,1893,21,0.5,3.8,4.3,2.2,1.8,0.1,115,116,0.568,0.848
Anthony Black,78,1887,19.5,1.4,4.7,6.1,6.4,2.3,1.3,103,110,0.473,0.761
Josh Green,68,1887,13.2,1.5,3,4.5,2.8,1.9,0.4,109,119,0.543,0.681
Nic Claxton,70,1882,19.2,4.2,9.5,13.6,4.2,1.6,2.6,115,112,0.568,0.513
Andrew Nembhard,65,1881,16.7,0.9,4.7,5.5,8.3,2,0.3,111,116,0.506,0.794
Cason Wallace,68,1876,14.5,1.8,4,5.9,4.4,3.1,0.9,118,108,0.55,0.811
Derrick Jones Jr.,77,1873,20.5,2.4,4.5,6.9,1.6,2.1,0.9,118,112,0.593,0.703
Rui Hachimura,59,1869,20.4,2.1,5.7,7.8,2.2,1.2,0.7,123,117,0.597,0.77
RJ Barrett,58,1869,31.5,1.6,7.9,9.4,8.1,1.2,0.4,108,116,0.523,0.63
Buddy Hield,82,1863,23.8,1.3,5.6,6.9,3.5,1.8,0.6,108,113,0.546,0.828
