pitch_type,count,release_speed,description
SL,1-2,87.8,swinging_strike
FF,1-2,94.5,foul
SL,1-1,87.8,called_strike
FF,1-0,95.1,foul
SL,0-0,87.6,ball
SL,2-2,88.9,hit_into_play
SL,2-1,85.6,called_strike
FF,2-0,94.8,foul
SL,1-0,86.9,ball
CU,0-0,78.9,ball
SL,0-2,87.7,swinging_strike
SL,0-1,87.9,foul
SL,0-0,87.6,swinging_strike
FF,3-2,96.8,foul_tip
CU,2-2,82,ball
SL,2-1,87.7,swinging_strike
SL,2-0,87.2,called_strike
CU,1-0,77.5,ball
CU,0-0,77.6,ball
CH,3-2,85.7,ball
SL,3-1,88.1,foul
FF,2-1,95.8,ball
FF,1-1,96.2,ball
FF,0-1,95.6,ball
CU,0-0,78.7,called_strike
FF,2-2,95.7,hit_into_play
CH,1-2,87.6,ball
CH,0-2,86.4,ball
FF,0-1,94.8,foul
FF,0-0,95.1,called_strike
SL,2-2,88.3,hit_into_play
SL,2-2,88.4,foul
SL,1-2,88.2,ball
CH,1-2,87.6,foul
FF,0-2,95,ball
FF,0-1,94.3,foul
CU,0-0,78.6,called_strike
SL,3-2,87.8,called_strike
SL,3-2,87.6,foul
CH,2-2,87.2,ball
SL,2-1,87.7,foul
CU,1-1,78.6,ball
FF,1-0,95.1,foul
CU,0-0,78.8,ball
SL,0-2,87.7,swinging_strike
SL,0-1,87.7,swinging_strike
FF,0-0,95.2,called_strike
FF,0-0,94.7,hit_into_play
FF,2-2,96.6,hit_into_play
SL,2-1,89.3,called_strike
SL,2-0,88.3,called_strike
SL,1-0,87.7,ball
FF,0-0,94.1,ball
FF,3-2,95.5,called_strike
FF,3-1,95.1,swinging_strike
SL,2-1,85.5,ball
FF,2-0,94.9,foul
FF,1-0,95.4,ball
SL,0-0,87.8,ball
FF,1-1,94.4,hit_by_pitch
SL,1-0,87.4,foul
SL,0-0,86.7,ball
CH,1-2,85.7,swinging_strike
FF,1-1,94.6,foul
FF,0-1,93.8,ball
FF,0-0,93.5,swinging_strike
SL,2-2,89.5,swinging_strike
CU,2-2,81,foul
SL,2-2,88.5,foul
FF,1-2,96.4,ball
FF,0-2,96.4,ball
FF,0-1,95.2,called_strike
SL,0-0,88.7,foul
SL,1-2,88.1,swinging_strike
CU,1-1,78.8,foul
CU,1-0,78.1,called_strike
CU,0-0,78,ball
CU,0-1,78.3,hit_into_play
FF,0-0,95.1,foul
FF,1-1,95.6,hit_into_play
FF,1-0,96,foul
FF,0-0,95.5,ball
SL,0-2,87.8,called_strike
CU,0-1,80.4,called_strike
CU,0-0,80.2,called_strike
FF,3-2,96,ball
FF,3-2,95.3,foul
FF,3-1,94.8,foul_tip
FF,3-0,94.7,called_strike
FF,2-0,93.5,ball
FF,1-0,94.6,ball
CU,0-0,77.8,ball
FF,2-0,94.1,hit_into_play
FF,1-0,92.7,ball
FF,0-0,93.3,ball
SL,1-2,86.1,called_strike
FF,1-1,95.5,foul
FF,1-0,94.7,called_strike
FF,0-0,94.4,ball
SL,2-2,87.8,swinging_strike
FF,1-2,95.6,ball
FF,1-1,94.6,called_strike
FF,0-1,93.7,ball
SL,0-0,86.7,foul
FF,3-2,95.3,hit_into_play
FF,2-2,95.3,ball
CU,2-2,78.9,foul
FF,1-2,95.2,ball
FF,1-1,93.5,called_strike
CU,0-1,78.3,ball
FF,0-0,94.3,foul
CU,1-2,80.8,swinging_strike
CU,1-1,79.7,called_strike
FF,1-0,95.7,foul_tip
FF,0-0,95.2,ball
FF,1-2,95.1,swinging_strike
FF,1-1,96,swinging_strike
FF,1-0,95.2,foul
FF,0-0,95.3,ball
CU,0-2,80.8,swinging_strike_blocked
SL,0-2,88.4,foul
SL,0-2,88.4,foul
SL,0-2,88.4,foul
FF,0-2,96.1,foul
FF,0-1,95.2,called_strike
FF,0-0,95.1,foul
CH,3-1,86,hit_into_play
FF,2-1,93.6,ball
FF,2-0,93.8,called_strike
FF,1-0,94.6,ball
CU,0-0,77,ball
FF,3-2,94.9,hit_into_play
FF,3-2,94.1,foul
SL,3-2,87.6,foul
SL,2-2,87.6,ball
SL,1-2,87.6,ball
SL,1-1,87.1,swinging_strike
FF,1-0,94,called_strike
FF,0-0,93.8,ball
CU,1-2,79.4,hit_into_play
CU,1-2,80.7,foul
SL,1-2,90.4,foul
SL,1-2,90,foul
CU,1-1,79.5,called_strike
CU,1-0,78,called_strike
CU,0-0,77.9,ball
FF,2-2,95.7,hit_into_play
FF,2-2,95.7,foul
SL,1-2,88.7,ball
SL,0-2,87.7,ball
FF,0-1,95.1,foul
CU,0-0,79.3,called_strike
FF,3-2,95.8,swinging_strike
