name,height,wingspan,wingspan_advantage
Peyton WatsonDEN | SF,"6'6.75""","7'0.5""",5.75
Precious AchiuwaNYK | PF,"6'7.5""","7'0.75""",5.25
Quentin GrimesPHI | SG,"6'4""","6'7.75""",3.75
R.J. Hampton | SG,"6'3.75""","6'7""",3.25
RJ BarrettTOR | SF,"6'5""","6'10""",5
Reed SheppardHOU | PG,"6'1.75""","6'3.25""",1.5
Reggie Bullock Jr. | SF,"6'5.75""","6'8.75""",3
Reggie Jackson | PG,"6'2.5""","6'11.25""",8.75
Richaun HolmesWAS | C,"6'8.25""","7'1.5""",5.25
Ricky Rubio | PG,"6'3""","6'9""",6
Rob DillinghamMIN | PG,"6'1""","6'3""",2
Robert Covington | PF,"6'6.25""","7'1.75""",7.5
Robert WilliamsPOR | C,"6'8""","7'5.5""",9.5
Robin Lopez | C,"6'11.5""","7'5.5""",6
Ron HollandDET | SG,"6'6.5""","6'10.75""",4.25
Royce O'NealePHX | SF,"6'4""","6'9""",5
Rudy GobertMIN | C,"7'0.5""","7'8.5""",8
Rui HachimuraLAL | PF,"6'7.75""","7'2""",6.25
Russell WestbrookDEN | PG,"6'2.25""","6'7.75""",5.5
Ryan DunnPHX | PF,"6'6.25""","7'1.5""",7.25
Ryan RollinsMIL | PG,"6'2""","6'9.75""",7.75
Saben Lee | PG,"6'2""","6'9""",7
Sam HauserBOS | SF,"6'6.75""","6'9.25""",2.5
Sam MerrillCLE | SG,"6'3.5""","6'5""",1.5
Sandro MamukelashviliSAS | PF,"6'9""","7'1.25""",4.25
Santi AldamaMEM | PF,"6'10.75""","6'11""",0.25
Scoot HendersonPOR | PG,"6'2""","6'9""",7
Scottie BarnesTOR | SF,"6'7""","7'2.75""",7.75
Seth CurryCHA | SG,"6'1""","6'4""",3
Shaedon SharpePOR | SG,"6'4.25""","6'11.5""",7.25
Shai Gilgeous-AlexanderOKC | PG,"6'4.5""","6'11.5""",7
Shake MiltonLAL | SG,"6'4.5""","7'0.75""",8.25
Sidy CissokoPOR | SF,"6'5.5""","6'9.75""",4.25
Spencer DinwiddieDAL | PG,"6'4.5""","6'8.25""",3.75
Stephen CurryGSW | PG,"6'2""","6'3.5""",1.5
Stephon CastleSAS | SG,"6'5.5""","6'9""",3.5
Steven AdamsHOU | C,"6'10.75""","7'4.5""",5.75
Svi MykhailiukUTA | SG,"6'6.5""","6'5""",-1.5
T.J. McConnellIND | PG,"6'0.5""","6'2""",1.5
Talen Horton-TuckerCHI | SG,"6'2.5""","7'1.25""",10.75
Tari EasonHOU | PF,"6'6.75""","7'2""",7.25
Taurean PrinceMIL | SF,"6'6.5""","6'11.5""",5
Taylor HendricksUTA | PF,"6'8.25""","7'0.5""",4.25
Terance MannATL | SF,"6'4.75""","6'7.75""",3
Terquavion Smith | SG,"6'2.5""","6'6.75""",4.25
Terrence Shannon Jr.MIN | SG,"6'5.75""","6'8.75""",3
