Player,Team,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Alexis Ross,Florida International,0.275,0.321,0.336,0.657,40,143,131,31,36,4,2,0,5,2,7,15,14,2
Alexis Silinonte,Wagner,0.282,0.349,0.359,0.708,31,90,78,10,22,3,0,1,8,2,6,11,2,0
Alexis Strother,Morehead State,0.291,0.378,0.436,0.814,41,127,110,9,32,7,0,3,25,4,12,18,1,0
Alexis Taube,Kent State,0.304,0.34,0.481,0.822,48,150,135,23,41,4,1,6,34,4,5,17,2,2
Alexis Wayland,Longwood,0.247,0.286,0.414,0.7,54,186,174,28,43,8,0,7,34,2,8,26,7,3
Alexus Jimmerson,Jacksonville State,0.309,0.389,0.596,0.984,48,159,136,17,42,12,0,9,29,2,17,22,1,0
Alexys Campos,North Dakota,0.295,0.325,0.333,0.658,50,165,156,19,46,4,1,0,3,0,7,20,2,4
Ali Milam,Marist,0.3,0.33,0.533,0.863,27,95,90,12,27,6,0,5,16,0,4,21,5,1
Alia Booth,Georgia Southern,0.213,0.344,0.313,0.656,34,98,80,7,17,5,0,1,5,0,16,17,3,0
Alicia Peters,Buffalo,0.21,0.285,0.383,0.668,53,179,162,21,34,4,0,8,23,7,10,43,1,0
Alicia Veltri,Belmont,0.219,0.327,0.354,0.682,36,113,96,9,21,4,0,3,11,2,14,37,1,0
Alina Castillo,Long Island,0.424,0.521,0.515,1.036,35,121,99,24,42,6,0,1,22,6,14,6,0,0
Alise Hale,Fort Wayne,0.202,0.318,0.383,0.701,36,114,94,21,19,2,0,5,12,2,14,24,0,0
