Rider,Points,Points Back,Events,Outs,Rides,Buckoffs,prop.Ridden,Avg Ride Score,Highest RideScore,Avg Buckoff Time,Round Wins,Event Wins,ReRides Taken,Earnings,90Pt Rides
Andy Guzman,0,288,1,1,0,1,0,0,0,6.12,0,0,0,0,0
Jared Avina,0,288,1,1,0,1,0,0,0,3.73,0,0,0,0,0
Dayer Da Costa,0,288,4,4,1,3,25,70,70,3.39,0,0,0,0,0
Daniel Rogan,0,288,5,6,0,6,0,0,0,3.35,0,0,0,0,0
Paulo Rodriguez,0,288,5,7,0,7,0,0,0,2.67,0,0,0,0,0
Cole Brewer,0,288,5,9,0,9,0,0,0,3.7,0,0,0,0,0
Justice Forsythe,0,288,5,6,0,6,0,0,0,2.96,0,0,0,0,0
Noah Thompson,0,288,4,6,0,6,0,0,0,3.77,0,0,0,0,0
Trace Redd,0,288,4,5,0,5,0,0,0,3.16,0,0,0,0,0
Colby Anderson,0,288,4,4,0,4,0,0,0,2.4,0,0,2,0,0
Mason Ward,0,288,4,6,0,6,0,0,0,4.13,0,0,1,0,0
Marcelo De Souza Dias Junior,0,288,4,4,0,4,0,0,0,3.15,0,0,0,0,0
Robson Guedes,0,288,4,5,0,5,0,0,0,4.25,0,0,3,0,0
Dimas Polanco,0,288,4,6,0,6,0,0,0,1.98,0,0,0,0,0
Lance Lara,0,288,4,4,0,4,0,0,0,3.32,0,0,0,0,0
Ross Freeman,0,288,4,6,0,6,0,0,0,4.6,0,0,0,0,0
Bruno Jose Barros,0,288,3,3,0,3,0,0,0,2.56,0,0,1,0,0
Cody Kohout,0,288,3,3,0,3,0,0,0,1.04,0,0,0,0,0
Vinell Mariano,0,288,3,4,0,4,0,0,0,3.77,0,0,0,0,0
Felipe Nogueira,0,288,3,5,0,5,0,0,0,2.9,0,0,1,0,0
Paulo Maciel Neto,0,288,3,3,0,3,0,0,0,2.93,0,0,1,0,0
Jarred Walker,0,288,3,4,0,4,0,0,0,3.08,0,0,0,0,0
Trey Thomas,0,288,3,5,0,5,0,0,0,3.55,0,0,0,0,0
Bennie Shetler,0,288,3,5,0,5,0,0,0,3.83,0,0,0,0,0
Francisco Garcia Torres,0,288,3,3,0,3,0,0,0,5.71,0,0,0,0,0
Kane Taylor,0,288,3,4,0,4,0,0,0,2.87,0,0,0,0,0
Quinten Panarra,0,288,3,3,0,3,0,0,0,2.27,0,0,0,0,0
Landen Jones,0,288,3,3,0,3,0,0,0,2.26,0,0,0,0,0
Raudel Rodriguez,0,288,3,4,0,4,0,0,0,3.19,0,0,0,0,0
Brylee Smith,0,288,3,4,0,4,0,0,0,2.14,0,0,0,0,0
Riley Shippy,0,288,2,2,0,2,0,0,0,7.36,0,0,1,0,0
Jerrison Begay,0,288,2,2,0,2,0,0,0,2.81,0,0,0,0,0
Armando Rodriguez Tena,0,288,2,2,0,2,0,0,0,3.06,0,0,0,0,0
Collin Williams,0,288,2,2,0,2,0,0,0,3.16,0,0,1,0,0
Manuel Sandoval,0,288,2,3,0,3,0,0,0,3.83,0,0,0,0,0
Landon Coulston,0,288,2,2,0,2,0,0,0,4.56,0,0,0,0,0
Sage Vance,0,288,2,2,0,2,0,0,0,3.6,0,0,0,0,0
Joao Pedro Butolo,0,288,2,4,0,4,0,0,0,3.4,0,0,0,0,0
Dillon Whitesel,0,288,2,4,0,4,0,0,0,3.96,0,0,0,0,0
Charlie Hayes,0,288,2,2,0,2,0,0,0,2.43,0,0,0,0,0
Kendel Archie,0,288,2,2,0,2,0,0,0,3.11,0,0,0,0,0
Bladimir Rodriguez,0,288,2,2,0,2,0,0,0,3.74,0,0,0,0,0
Vagner Mendes Vasconcelos,0,288,2,2,0,2,0,0,0,2.77,0,0,0,0,0
Kase Hitt,0,288,2,3,0,3,0,0,0,3.16,0,0,0,0,0
Gabe Jacques,0,288,2,2,0,2,0,0,0,2.73,0,0,0,0,0
Nick Cutlip,0,288,2,5,0,5,0,0,0,3.61,0,0,0,0,0
Ty Harrison,0,288,2,2,0,2,0,0,0,1.54,0,0,0,0,0
Brock Udy,0,288,2,2,0,2,0,0,0,2.47,0,0,0,0,0
Cort McFadden,0,288,2,3,0,3,0,0,0,4.81,0,0,0,0,0
Cody Rustin,0,288,2,4,0,4,0,0,0,4.6,0,0,0,0,0
Jake Goodson,0,288,2,4,0,4,0,0,0,2.82,0,0,0,0,0
Colton Schneiderman,0,288,2,3,0,3,0,0,0,4.28,0,0,0,0,0
Jesse Tillman,0,288,2,2,0,2,0,0,0,3.21,0,0,0,0,0
Jace Catlin,0,288,2,2,0,2,0,0,0,4.33,0,0,0,0,0
Wellington Ferreira,0,288,2,2,0,2,0,0,0,2.58,0,0,0,0,0
Chance Strong,0,288,2,2,0,2,0,0,0,2.68,0,0,0,0,0
Dalton Davis,0,288,2,2,0,2,0,0,0,3.41,0,0,0,0,0
Daniel Dealejandro,0,288,2,2,0,2,0,0,0,1.52,0,0,0,0,0
Gabriel Varela,0,288,2,3,0,3,0,0,0,2.26,0,0,0,0,0
Caden Fitzpatrick,0,288,2,3,0,3,0,0,0,2.04,0,0,1,0,0
Blaine Wilson,0,288,2,3,0,3,0,0,0,3.24,0,0,0,0,0
Kolt Forinash,0,288,2,4,0,4,0,0,0,2.92,0,0,0,0,0
Jeremiah Begaye,0,288,2,2,0,2,0,0,0,3.38,0,0,0,0,0
Renato Melgar,0,288,2,3,0,3,0,0,0,2.09,0,0,0,0,0
Arnail Woodman,0,288,2,2,0,2,0,0,0,0.63,0,0,0,0,0
Tyler Kippes,0,288,1,1,0,1,0,0,0,1.94,0,0,0,0,0
Odey Tom,0,288,1,2,0,2,0,0,0,3.86,0,0,0,0,0
Zebrian Huitron,0,288,1,2,0,2,0,0,0,1.84,0,0,0,0,0
Scooter Rigo,0,288,1,2,0,2,0,0,0,2.26,0,0,0,0,0
