FavScore,Favorite,Pts,Underdog,DogScore,FavCover,FavDiff,FavWin,HomeDog,HomeScore,AwayScore,HomePts,HomeCover,HomeDiff,HomeWin,Week,Year
23,Indianapolis,2.5,Las Vegas,20,1,3,1,0,23,20,2.5,1,3,1,17,2023
26,LA Rams,6.5,NY Giants,25,0,1,1,1,25,26,-6.5,1,-1,0,17,2023
31,Phildelphia,12.5,Arizona,35,0,-4,0,0,31,35,12.5,0,-4,0,17,2023
13,Tampa Bay,3.5,New Orleans,23,0,-10,0,0,13,23,3.5,0,-10,0,17,2023
27,San Francisco,13.5,Washington,10,1,17,1,1,10,27,-13.5,0,-17,0,17,2023
26,Jacksonville,6.5,Carolina,0,1,26,1,0,26,0,6.5,1,26,1,17,2023
56,Baltimore,3.5,Miami,19,1,37,1,0,56,19,3.5,1,37,1,17,2023
26,Houston,3.5,Tennessee,3,1,23,1,0,26,3,3.5,1,23,1,17,2023
23,Seattle,3.5,Pittsburgh,30,0,-7,0,0,23,30,3.5,0,-7,0,17,2023
16,Denver,5.5,LA Chargers,9,1,7,1,0,16,9,5.5,1,7,1,17,2023
25,Kansas City,7.5,Cincinnati,17,1,8,1,0,25,17,7.5,1,8,1,17,2023
10,Minnesota,2.5,Green Bay,33,0,-23,0,0,10,33,2.5,0,-23,0,17,2023
17,Pittsburgh,3.5,Baltimore,10,1,7,1,1,10,17,-3.5,0,-7,0,18,2023
19,Indianapolis,1.5,Houston,23,0,-4,0,0,19,23,1.5,0,-4,0,18,2023
31,Cincinnati,5.5,Cleveland,14,1,17,1,0,31,14,5.5,1,17,1,18,2023
30,Detroit,3.5,Minnesota,20,1,10,1,0,30,20,3.5,1,10,1,18,2023
20,Jacksonville,4.5,Tennessee,28,0,-8,0,1,28,20,-4.5,1,8,1,18,2023
3,New England,2.5,NY Jets,17,0,-14,0,0,3,17,2.5,0,-14,0,18,2023
48,New Orleans,3.5,Atlanta,17,1,31,1,0,48,17,3.5,1,31,1,18,2023
9,Tampa Bay,5.5,Carolina,0,1,9,1,1,0,9,-5.5,0,-9,0,18,2023
17,Green Bay,3.5,Chicago,9,1,8,1,0,17,9,3.5,1,8,1,18,2023
27,Las Vegas,2.5,Denver,14,1,13,1,0,27,14,2.5,1,13,1,18,2023
10,Philadelphia,5.5,NY Giants,27,0,-17,0,1,27,10,-5.5,1,17,1,18,2023
21,Seattle,3.5,Arizona,20,0,1,1,0,21,20,3.5,0,1,1,18,2023
12,LA Chargers,1.5,Kansas City,13,0,-1,0,0,12,13,1.5,0,-1,0,18,2023
20,San Francisco,3.5,LA Rams,21,0,-1,0,0,20,21,3.5,0,-1,0,18,2023
38,Dallas,13.5,Washington,10,1,28,1,1,10,38,-13.5,0,-28,0,18,2023
21,Buffalo,2.5,Miami,14,1,7,1,1,14,21,-2.5,0,-7,0,18,2023
27,Kansas City,2.5,Baltimore,20,1,7,1,0,27,20,2.5,1,7,1,1,2024
34,Phildelphia,1.5,Green Bay,29,1,5,1,0,34,29,1.5,1,5,1,1,2024
10,Atlanta,2.5,Pittsburgh,18,0,-8,0,0,10,18,2.5,0,-8,0,1,2024
34,Buffalo,6.5,Arizona,28,0,6,1,0,34,28,6.5,0,6,1,1,2024
24,Chicago,4.5,Tennessee,17,1,7,1,0,24,17,4.5,1,7,1,1,2024
10,Cincinnati,8.5,New England,16,0,-6,0,0,10,16,8.5,0,-6,0,1,2024
29,Houston,1.5,Indianapolis,27,1,2,1,1,27,29,-1.5,0,-2,0,1,2024
20,Miami,3.5,Jacksonville,17,0,3,1,0,20,17,3.5,0,3,1,1,2024
47,New Orleans,4.5,Carolina,10,1,37,1,0,47,10,4.5,1,37,1,1,2024
28,Minnesota,1.5,NY Giants,6,1,22,1,1,6,28,-1.5,0,-22,0,1,2024
22,LA Chargers,3.5,Las Vegas,10,1,12,1,0,22,10,3.5,1,12,1,1,2024
26,Seattle,4.5,Denver,20,1,6,1,0,26,20,4.5,1,6,1,1,2024
