"","First Name","Last Name","Overall","Overall Reliability","Singles","Singles Reliability","Doubles","Doubles Reliability","Mixed","Mixed Reliability","Sex"
"183","Yolena","Carlon",5.306,0.61,5.354,0.64,5.395,0.53,5.168,0.66,"F"
"184","Ysabelle","Andrion",4.481,0.33,4.5,0,4.181,0.5,4.781,0.48,"F"
"185","Zoe","Routson",5.061,0.48,5.13,0.36,4.715,0.54,5.339,0.54,"F"
"186","Adam","Jones",5.092,0.46,5.625,0.34,5.188,0.5,4.995,0.53,"M"
"187","Aditya","Nallur",4.096,0.25,4.183,0.26,4.043,0.26,4.062,0.24,"M"
"188","Aidan","Gorneau",4.319,0.36,4.353,0.37,4.554,0.37,4.048,0.34,"M"
"189","Aidan","Arpachinda",4.302,0.28,4.582,0.29,4.211,0.28,4.112,0.27,"M"
"190","Aidan","Gonzales",4.218,0.26,4.106,0.26,4.272,0.26,4.277,0.26,"M"
"191","Aidan","Voong",4.151,0.36,3.594,0.29,4.194,0.47,4.664,0.33,"M"
"192","Aiden","Christesen",3.882,0.42,3.831,0.5,3.839,0.5,3.976,0.26,"M"
"193","Aj","Ciampini",4.688,0.57,4.583,0.5,4.647,0.54,4.833,0.67,"M"
"194","Aj","Hughes",3.845,0.26,4.052,0.27,3.74,0.26,3.744,0.26,"M"
"195","Alexander","Qi",4.896,0.54,4.679,0.52,4.859,0.56,5.149,0.54,"M"
"196","Alon","Evron",4.535,0.45,4.5,0,4.643,0.7,4.427,0.65,"M"
"197","Amrit","Kar",4.55,0.45,4.803,0.54,4.243,0.52,4.606,0.29,"M"
"198","Andre","Vu",4.575,0.43,4.234,0.27,4.456,0.51,4.694,0.5,"M"
"199","Andres","Tardio",4.978,0.48,4.76,0.35,4.883,0.55,5.29,0.55,"M"
"200","Arden","Levin",4.702,0.54,4.446,0.53,4.919,0.55,4.741,0.55,"M"
"201","Arden","Light",4.258,0.54,4.214,0.47,4.622,0.47,3.937,0.68,"M"
"202","Arnav","Kumar",4.672,0.28,4.681,0.29,4.742,0.28,4.594,0.28,"M"
"203","Artur","Fonseca",4.999,0.39,4.28,0.15,5.423,0.5,4.575,0.52,"M"
"204","Ben","Spencer",4.471,0.42,5.008,0.27,4.059,0.48,4.883,0.52,"M"
"205","Benjamin","Tighe",3.808,0.26,3.799,0.26,3.765,0.26,3.861,0.26,"M"
"206","Benjamin","Johnson",3.757,0.19,4.5,0,3.757,0.29,3.882,0.27,"M"
"207","Benson","Parry",5.471,0.62,5.213,0.57,5.448,0.6,5.753,0.69,"M"
"208","Bhavdeep","Singh",4.621,0.41,4.5,0,4.621,0.73,4.357,0.5,"M"
"209","Bill","Rogers",4.441,0.2,4.5,0,4.5,0,4.441,0.61,"M"
"210","Blake","Goodman",5.234,0.21,4.5,0,5.213,0.33,5.255,0.31,"M"
"211","Brady","Madrid",4.341,0.2,4.5,0,4.196,0.29,4.486,0.32,"M"
"212","Brandon","Tong",4.588,0.29,4.5,0,4.769,0.52,4.407,0.35,"M"
"213","Brandon","Bell",4.225,0.36,4.126,0.53,4.272,0.28,4.277,0.28,"M"
"214","Brock","Masters",4.662,0.63,4.843,0.63,4.595,0.62,4.549,0.63,"M"
"215","Bryce","Larson",4.892,0.3,4.415,0.16,4.141,0.27,4.892,0.48,"M"
"216","Bryce","Dorton",4.265,0.27,4.426,0.28,4.225,0.26,4.143,0.27,"M"
"217","Caeden","Simpson",4.602,0.28,4.59,0.28,4.736,0.28,4.481,0.27,"M"
"218","Caiden","Lindsay",4.55,0.18,4.5,0,4.5,0,4.55,0.55,"M"
"219","Caleb","Yeung",4.859,0.46,4.838,0.53,4.903,0.3,4.835,0.54,"M"
"220","Caleb","Hughes",4.543,0.3,4.131,0.29,4.688,0.31,4.81,0.29,"M"
"221","Calvin","Chang",4.474,0.37,4.777,0.33,4.584,0.33,4.063,0.44,"M"
"222","Carter","Maris",5.291,0.65,5.154,0.64,5.31,0.65,5.409,0.67,"M"
"223","Carter","Eldridge",4.905,0.4,5.027,0.13,5.05,0.53,4.639,0.55,"M"
"224","Carter","Wittendorf",4.586,0.53,4.717,0.51,4.502,0.53,4.538,0.55,"M"
"225","Charles","Case",4.793,0.27,4.899,0.28,4.677,0.26,4.802,0.26,"M"
"226","Charles","Anderson",4.68,0.53,4.411,0.52,4.675,0.52,4.954,0.55,"M"
"227","Charlie","Hall",4.601,0.28,4.554,0.28,4.846,0.28,4.403,0.27,"M"
"228","Charlie","Lott",4.53,0.29,4.5,0,4.293,0.44,4.767,0.42,"M"
"229","Chase","Poulton",4.029,0.19,4.5,0,4.196,0.29,3.863,0.29,"M"
"230","Chris","Adams",4.684,0.3,5.126,0.15,4.684,0.42,4.515,0.34,"M"
"231","Christian","Balon",4.95,0.2,4.5,0,4.95,0.33,4.089,0.27,"M"
"232","Christian","Franke",4.907,0.56,4.693,0.55,5.219,0.56,4.81,0.56,"M"
"233","Christopher","Petropoulos",4.436,0.28,4.467,0.28,4.701,0.28,4.139,0.27,"M"
"234","Cj","Sojka",4.183,0.27,4.283,0.27,4.174,0.26,4.091,0.27,"M"
"235","Cody","Miller",5.131,0.47,5.026,0.3,5.133,0.56,5.235,0.56,"M"
"236","Conner","Koga",4.524,0.33,4.315,0.15,4.486,0.5,4.562,0.34,"M"
"237","Conor","Burns",5.163,0.6,5.239,0.61,5.019,0.6,5.231,0.6,"M"
"238","Cooper","England",3.885,0.25,3.833,0.24,3.845,0.24,3.976,0.26,"M"
"239","Cosmo","Anthony-mostad",4.94,0.37,4.793,0.54,5.091,0.29,4.936,0.27,"M"
"240","Daniel","Korman",5.164,0.4,5.376,0.36,4.951,0.49,4.353,0.34,"M"
"241","Daniel","Vivas",4.575,0.53,4.744,0.33,4.595,0.62,4.388,0.64,"M"
"242","Daniel","Rodi",4.33,0.28,4.011,0.36,4.126,0.35,4.852,0.12,"M"
"243","Danny","Ward",4.09,0.41,4.635,0.27,4.386,0.47,3.794,0.48,"M"
"244","Derik","Hyndman",4.476,0.29,5.025,0.34,4.256,0.14,4.696,0.38,"M"
"245","Derrick","Phu",4.508,0.19,4.5,0,4.635,0.29,4.382,0.29,"M"
"246","Devin","Slemmer",4.324,0.26,4.398,0.26,4.55,0.26,4.025,0.26,"M"
"247","Drew","Pollak",4.533,0.36,4.563,0.3,4.74,0.53,4.297,0.26,"M"
"248","Duncan","Homer",4.793,0.27,4.899,0.28,4.677,0.26,4.802,0.26,"M"
"249","Edward","Gardner",4.599,0.43,4.778,0.27,4.548,0.51,4.472,0.51,"M"
"250","Eli","Mautner",4.959,0.58,5.102,0.57,4.991,0.59,4.785,0.58,"M"
"251","Eli","Vu",4.177,0.41,4.4,0.27,4.102,0.5,4.251,0.46,"M"
"252","Eli","Lynskey",4.109,0.13,4.296,0.13,3.809,0.13,4.222,0.13,"M"
"253","Eli","Mounts",4.007,0.26,3.828,0.26,3.991,0.26,4.202,0.25,"M"
"254","Elliott","Cox",4.265,0.27,4.426,0.28,4.225,0.26,4.143,0.27,"M"
"255","Eric","Marlatt",4.699,0.43,4.5,0,4.684,0.64,4.715,0.64,"M"
"256","Eric","Lee",4.653,0.28,4.696,0.29,4.299,0.28,4.965,0.27,"M"
"257","Ethan","Mahony",4.972,0.43,5.079,0.34,4.979,0.52,4.857,0.42,"M"
"258","Ethan","Nguyen",4.255,0.22,4.5,0,4.5,0,4.255,0.65,"M"
"259","Ethan","Kling",4.007,0.26,3.828,0.26,3.991,0.26,4.202,0.25,"M"
"260","Evan","Bernstine",4.977,0.45,4.863,0.48,5.092,0.46,4.566,0.4,"M"
"261","Freddy","Ortmann",4.435,0.53,4.409,0.53,4.359,0.53,4.535,0.53,"M"
"262","Gabriel","Jacobsen ayala",4.551,0.48,4.5,0,4.643,0.7,4.46,0.75,"M"
"263","Gavin","Fowler",4.825,0.26,5.224,0.28,4.876,0.26,4.376,0.24,"M"
"264","George","Ross",3.937,0.27,4.092,0.27,3.779,0.26,3.94,0.27,"M"
"265","Grant","Riechmann",5.151,0.29,4.5,0,5.398,0.44,4.903,0.42,"M"
"266","Gregory","Chot",4.735,0.18,4.5,0,4.5,0,4.735,0.55,"M"
"267","Harrison","Smith",3.937,0.27,4.092,0.27,3.779,0.26,3.94,0.27,"M"
"268","Isaak","Truong",3.84,0.32,3.64,0.39,3.84,0.29,4.221,0.27,"M"
"269","Isamu","Sims",3.757,0.19,4.5,0,3.757,0.29,3.905,0.27,"M"
"270","Ishan","Kejriwal",4.358,0.46,4.686,0.42,4.221,0.5,4.169,0.46,"M"
"271","issaya","finley",4.227,0.43,4.5,0,4.229,0.65,4.224,0.65,"M"
"272","Jace","Wilkins",4.528,0.38,4.72,0.15,4.48,0.5,4.577,0.5,"M"
"273","Jack","Sugimoto",5.1,0.46,4.964,0.47,5.236,0.52,3.338,0.38,"M"
"274","Jack","Moulton",4.672,0.28,4.681,0.29,4.742,0.28,4.594,0.28,"M"
"275","Jackson","Tate",4.594,0.35,4.726,0.36,4.433,0.33,4.621,0.36,"M"
"276","Jackson","Bell",4.457,0.44,4.167,0.51,4.538,0.52,4.667,0.28,"M"
"277","Jacob","Samberg",4.663,0.45,4.346,0.28,4.675,0.52,4.967,0.55,"M"
"278","Jacob","Wilson",4.508,0.4,4.5,0,4.226,0.57,4.791,0.62,"M"
"279","Jacob","Nguyen",4.419,0.51,4.121,0.47,4.535,0.52,4.6,0.53,"M"
"280","Jaden","Rhoderick",4.44,0.19,4.5,0,4.5,0,4.44,0.58,"M"
"281","Jadon","Wing",4.602,0.28,4.59,0.28,4.736,0.28,4.481,0.27,"M"
"282","Jake","Wilson",5.074,0.5,5.445,0.57,4.714,0.37,5.063,0.56,"M"
"283","Jake","Bower",5.034,0.48,4.889,0.54,4.961,0.36,5.252,0.54,"M"
"284","Jake","Stolworthy",4.449,0.38,4.5,0,4.449,0.65,4.668,0.5,"M"
"285","Jared","Brungard",5.079,0.57,4.929,0.51,5.385,0.54,4.922,0.67,"M"
